abbor,/ɑ b ɔ ɾ/
ulastelige,/ʉ ˈ l ɑ s t ə l ɪə/
ulasteligere,/ʉ ˈ l ɑ s t ə l ɪ ɾ ə/
ulasteligst,/ʉ ˈ l ɑ s t ə l ɪ k s t/
ulasteligste,/ʉ ˈ l ɑ s t ə l ɪ k s t ə/
ule,/ˈ ʉ ː l ə/
uleilig,/ʉ ˈ l æɪ l ɪ/
uleilige,/ʉ ˈ l æɪ l ɪə/
uleiligere,/ʉ ˈ l æɪ l ɪ ɾ ə/
uleiligst,/ʉ ˈ l æɪ l ɪ k s t/
uleiligste,/ʉ ˈ l æɪ l ɪ k s t ə/
ulempe,/ˈ ʉ ː l ɛ m p ə/
ulendt,/ˈ ʉ ː l ɛ n t/
uleselig,/ʉ ˈ l e ː s ə l ɪ/
uleselige,/ʉ ˈ l e ː s ə l ɪə/
uleseligere,/ʉ ˈ l e ː s ə l ɪ ɾ ə/
uleseligst,/ʉ ˈ l e ː s ə l ɪ k s t/
uleseligste,/ʉ ˈ l e ː s ə l ɪ k s t ə/
ulidelig,/ʉ ˈ l iː d ə l ɪ/
ulidelige,/ʉ ˈ l iː d ə l ɪə/
ulideligere,/ʉ ˈ l iː d ə l ɪ ɾ ə/
ulideligst,/ʉ ˈ l iː d ə l ɪ k s t/
ulideligste,/ʉ ˈ l iː d ə l ɪ k s t ə/
ulik,/ˈ ʉ ː l iː k/
ull,/ʉ l/
ullen,/ˈ ʉ l ə n/
ullteppe,/ʉ l t ɛ p ə/
ulme,/ˈ ʉ l m ə/
ulogisk,/ˈ ʉ ː l uː g ɪ s k/
ulovlig,/ʉ ˈ l o ː ʋ l ɪ/
ulovlige,/ʉ ˈ l o ː ʋ l ɪə/
ulovligere,/ʉ ˈ l o ː ʋ l ɪ ɾ ə/
ulovligst,/ʉ ˈ l o ː ʋ l ɪ k s t/
ulovligste,/ʉ ˈ l o ː ʋ l ɪ k s t ə/
ulydig,/ʉ ˈ l y ː d ɪ/
ulydige,/ʉ ˈ l y ː d ɪə/
ulydigere,/ʉ ˈ l y ː d ɪ ɾ ə/
ulydigst,/ʉ ˈ l y ː d ɪ k s t/
ulydigste,/ʉ ˈ l y ː d ɪ k s t ə/
ulykke,/ˈ ʉ ː l ʏ k ə/
ulykkelig,/ʉ ˈ l ʏ k ə l ɪ/
ulykkelige,/ʉ ˈ l ʏ k ə l ɪə/
ulykkeligere,/ʉ ˈ l ʏ k ə l ɪ ɾ ə/
ulykkeligst,/ʉ ˈ l ʏ k ə l ɪ k s t/
ulykkeligste,/ʉ ˈ l ʏ k ə l ɪ k s t ə/
ulykksalig,/ʉ ː l ʏ k ˈ s ɑː l ɪ/
ulykksalige,/ʉ ː l ʏ k ˈ s ɑː l ɪə/
ulykksaligere,/ʉ ː l ʏ k ˈ s ɑː l ɪ ɾ ə/
ulykksaligst,/ʉ ː l ʏ k ˈ s ɑː l ɪ k s t/
ulykksaligste,/ʉ ː l ʏ k ˈ s ɑː l ɪ k s t ə/
umake,/ˈ ʉ ː m ɑː k ə/
umedgjørlig,/ʉ ː m e ː d ˈ j ø ː ɭ ɪ/
umedgjørlige,/ʉ ː m e ː d ˈ j ø ː ɭ ɪə/
umedgjørligere,/ʉ ː m e ː d ˈ j ø ː ɭ ɪ ɾ ə/
umedgjørligst,/ʉ ː m e ː d ˈ j ø ː ɭ ɪ k s t/
umedgjørligste,/ʉ ː m e ː d ˈ j ø ː ɭ ɪ k s t ə/
umenneskelig,/ʉ ˈ m ɛ n s k ə l ɪ/
umenneskelige,/ʉ ˈ m ɛ n s k ə l ɪə/
umenneskeligere,/ʉ ˈ m ɛ n s k ə l ɪ ɾ ə/
umenneskeligst,/ʉ ˈ m ɛ n s k ə l ɪ k s t/
umenneskeligste,/ʉ ˈ m ɛ n s k ə l ɪ k s t ə/
umerkelig,/ʉ ˈ m æ ɾ k ə l ɪ/
umerkelige,/ʉ ˈ m æ ɾ k ə l ɪə/
umerkeligere,/ʉ ˈ m æ ɾ k ə l ɪ ɾ ə/
umerkeligst,/ʉ ˈ m æ ɾ k ə l ɪ k s t/
umerkeligste,/ʉ ˈ m æ ɾ k ə l ɪ k s t ə/
umettelig,/ʉ ˈ m ɛ t ə l ɪ/
umettelige,/ʉ ˈ m ɛ t ə l ɪə/
umetteligere,/ʉ ˈ m ɛ t ə l ɪ ɾ ə/
umetteligst,/ʉ ˈ m ɛ t ə l ɪ k s t/
umetteligste,/ʉ ˈ m ɛ t ə l ɪ k s t ə/
umiddelbar,/ʉ ˈ m ɪ d ə l b ɑː ɾ/
umiskjennelig,/ʉ m ɪ s ˈ ç ɛ n ə l ɪ/
umiskjennelige,/ʉ m ɪ s ˈ ç ɛ n ə l ɪə/
umiskjenneligere,/ʉ m ɪ s ˈ ç ɛ n ə l ɪ ɾ ə/
umiskjenneligst,/ʉ m ɪ s ˈ ç ɛ n ə l ɪ k s t/
umiskjenneligste,/ʉ m ɪ s ˈ ç ɛ n ə l ɪ k s t ə/
umistelig,/ʉ ˈ m ɪ s t ə l ɪ/
umistelige,/ʉ ˈ m ɪ s t ə l ɪə/
umisteligere,/ʉ ˈ m ɪ s t ə l ɪ ɾ ə/
umisteligst,/ʉ ˈ m ɪ s t ə l ɪ k s t/
umisteligste,/ʉ ˈ m ɪ s t ə l ɪ k s t ə/
umoden,/ˈ ʉ ː m uː d ə n/
umoderne,/ˈ ʉ ː m ʊ d æ ː ɳ ə/
umoralsk,/ˈ ʉ ː m ʊ ɾ ɑː l s k/
umulig,/ʉ ˈ m ʉ ː l ɪ/
umulige,/ʉ ˈ m ʉ ː l ɪə/
umuligere,/ʉ ˈ m ʉ ː l ɪ ɾ ə/
umuligst,/ʉ ˈ m ʉ ː l ɪ k s t/
umuligste,/ʉ ˈ m ʉ ː l ɪ k s t ə/
umyndig,/ʉ ˈ m ʏ n ɪ/
umyndige,/ʉ ˈ m ʏ n ɪə/
umyndigere,/ʉ ˈ m ʏ n ɪ ɾ ə/
umyndigst,/ʉ ˈ m ʏ n ɪ k s t/
umyndigste,/ʉ ˈ m ʏ n ɪ k s t ə/
unaturlig,/ˈ ʉ ː n ɑ t ʉ ː ɭ ɪ/
unaturlige,/ˈ ʉ ː n ɑ t ʉ ː ɭ ɪə/
unaturligere,/ˈ ʉ ː n ɑ t ʉ ː ɭ ɪ ɾ ə/
unaturligst,/ˈ ʉ ː n ɑ t ʉ ː ɭ ɪ k s t/
unaturligste,/ˈ ʉ ː n ɑ t ʉ ː ɭ ɪ k s t ə/
und,/ɔ n t/
under,/ˈ ʉ n ə ɾ/
underbukse,/ʉ n ə ɾ b ʊ k s ə/
underbygge,/ˈ ʉ n ə ɾ b ʏ g ə/
underdanig,/ʉ n ə ˈ ɖ ɑː n ɪ/
underdanige,/ʉ n ə ˈ ɖ ɑː n ɪə/
underdanigere,/ʉ n ə ˈ ɖ ɑː n ɪ ɾ ə/
underdanigst,/ʉ n ə ˈ ɖ ɑː n ɪ k s t/
underdanigste,/ʉ n ə ˈ ɖ ɑː n ɪ k s t ə/
underfundig,/ʉ n ə ɾ ˈ f ʉ n ɪ/
underfundige,/ʉ n ə ɾ ˈ f ʉ n ɪə/
underfundigere,/ʉ n ə ɾ ˈ f ʉ n ɪ ɾ ə/
underfundigst,/ʉ n ə ɾ ˈ f ʉ n ɪ k s t/
underfundigste,/ʉ n ə ɾ ˈ f ʉ n ɪ k s t ə/
undergrave,/ˈ ʉ n ə ɾ g ɾ ɑː ʋ ə/
underholde,/ˈ ʉ n ə ɾ h ɔ l ə/
underholdning,/ʉ n ə ɾ ˈ h ɔ l n ɪ ŋ/
underkaste,/ˈ ʉ n ə ɾ k ɑ s t ə/
underkjenne,/ˈ ʉ n ə ɾ ç ɛ n ə/
underkue,/ˈ ʉ n ə ɾ k ʉ ː ə/
underlegen,/ˈ ʉ n ə ɭ e ː g ə n/
underlig,/ˈ ʉ n ə ɭ ɪ/
underlige,/ˈ ʉ n ə ɭ ɪə/
underligere,/ˈ ʉ n ə ɭ ɪ ɾ ə/
underligst,/ˈ ʉ n ə ɭ ɪ k s t/
underligste,/ˈ ʉ n ə ɭ ɪ k s t ə/
underliv,/ʉ n ə ɭ iː ʋ/
undermåls,/ˈ ʉ n ə ɾ m o ː l s/
underrette,/ˈ ʉ n ə ɾ ɛ t ə/
underskrift,/ʉ n ə ʂ k ɾ ɪ f t/
underskrive,/ʉ n ə ʂ k ɾ iː ʋ ə/
underslå,/ˈ ʉ n ə ʂ ɭ o ː/
understreke,/ˈ ʉ n ə ʂ t ɾ e ː k ə/
understøtte,/ˈ ʉ n ə ʂ t œ t ə/
undersøke,/ˈ ʉ n ə ʂ ø ː k ə/
undersøkelse,/ʉ n ə ˈ ʂ ø ː k ɛ l s ə/
undertegne,/ˈ ʉ n ə ʈ æɪ n ə/
undertittel,/ˈ ʉ n ə ʈ ɪ t ə l/
undertrykke,/ˈ ʉ n ə ʈ ɾ ʏ k ə/
undertrøye,/ʉ n ə ʈ ɾ œ j ə/
undertøy,/ˈ ʉ n ə ʈ œ j/
undervannskamera,/ˈ ʉ n ə ɾ ʋ ɑ n s k ɑ m e ː ɾ ɑ/
underveis,"/ʉ n ə ɾ ˈ ʋ æɪ s/, /ʉ n d ə ɾ ˈ ʋ æɪ s/"
undervise,/ˈ ʉ n ə ɾ ʋ iː s ə/
undervurdere,/ˈ ʉ n ə ɾ ʋ ʉ ɖ e ː ɾ ə/
undre,/ˈ ʉ n d ɾ ə/
undre seg,/ʉ n d ɾ ə s æɪ/
undre seg over,/ʉ n d ɾ ə s æɪ o ː ʋ ə ɾ/
unektelig,/ʉ ˈ n ɛ k t ə l ɪ/
unektelige,/ʉ ˈ n ɛ k t ə l ɪə/
unekteligere,/ʉ ˈ n ɛ k t ə l ɪ ɾ ə/
unekteligst,/ʉ ˈ n ɛ k t ə l ɪ k s t/
unekteligste,/ʉ ˈ n ɛ k t ə l ɪ k s t ə/
ung,/ʊ ŋ/
ungdom,/ˈ ʊ ŋ d ɔ m/
ungdommelig,/ʊ ŋ ˈ d ɔ m ə l ɪ/
ungdommelige,/ʊ ŋ ˈ d ɔ m ə l ɪə/
ungdommeligere,/ʊ ŋ ˈ d ɔ m ə l ɪ ɾ ə/
ungdommeligst,/ʊ ŋ ˈ d ɔ m ə l ɪ k s t/
ungdommeligste,/ʊ ŋ ˈ d ɔ m ə l ɪ k s t ə/
ungjente,/ˈ ʊ ŋ j ɛ n t ə/
ungkar,/ˈ ʊ ŋ k ɑː ɾ/
ungmøy,/ˈ ʊ ŋ m œ j/
ungnaut,/ˈ ʊ ŋ n æ w t/
unik,/ʉ ˈ n iː k/
unison,/ʉ n ɪ ˈ s uː n/
universell,/ʉ n ɪ ʋ æ ˈ ʂ ɛ l/
universitet,/ʉ n ɪ ʋ æ ʂ ɪ ˈ t e ː t/
unndra,/ˈ ʉ n d ɾ ɑː/
unne,/ˈ ʉ n ə/
unnfange,/ˈ ʉ n f ɑ ŋ ə/
unngjelde,/ˈ ʉ n j ɛ l ə/
unngå,/ˈ ʉ n g o ː/
unnlate,/ˈ ʉ n l ɑː t ə/
unnskylde,/ˈ ʉ n ʂ ʏ l ə/
unnskylde seg,/ˈ ʉ n ʂ ʏ l ə s æ i/
unnskyldning,/ˈ ʉ n ʂ ʏ l n ɪ ŋ/
unnta,/ˈ ʉ n t ɑː/
unntatt,/ˈ ʉ n t ɑ t/
unnvikende,/ˈ ʉ n ʋ iː k ə n ə/
unnvære,/ˈ ʉ n ʋ æ ː ɾ ə/
uns,/ɔ n s/
unyttig,/ʉ ˈ n ʏ t ɪ/
unyttige,/ʉ ˈ n ʏ t ɪə/
unyttigere,/ʉ ˈ n ʏ t ɪ ɾ ə/
unyttigst,/ʉ ˈ n ʏ t ɪ k s t/
unyttigste,/ʉ ˈ n ʏ t ɪ k s t ə/
unødig,/ʉ ˈ n ø ː d ɪ/
unødige,/ʉ ˈ n ø ː d ɪə/
unødigere,/ʉ ˈ n ø ː d ɪ ɾ ə/
unødigst,/ʉ ˈ n ø ː d ɪ k s t/
unødigste,/ʉ ˈ n ø ː d ɪ k s t ə/
unødvendig,/ˈ ʉ ː n œ d ʋ ɛ n ɪ/
unødvendige,/ˈ ʉ ː n œ d ʋ ɛ n ɪə/
unødvendigere,/ˈ ʉ ː n œ d ʋ ɛ n ɪ ɾ ə/
unødvendigst,/ˈ ʉ ː n œ d ʋ ɛ n ɪ k s t/
unødvendigste,/ˈ ʉ ː n œ d ʋ ɛ n ɪ k s t ə/
unøyaktig,/ˈ ʉ ː n œ j ɑ k t ɪ/
unøyaktige,/ˈ ʉ ː n œ j ɑ k t ɪə/
unøyaktigere,/ˈ ʉ ː n œ j ɑ k t ɪ ɾ ə/
unøyaktigst,/ˈ ʉ ː n œ j ɑ k t ɪ k s t/
unøyaktigste,/ˈ ʉ ː n œ j ɑ k t ɪ k s t ə/
uomtvistelig,/ʉ ɔ m ˈ t ʋ ɪ s t ə l ɪ/
uomtvistelige,/ʉ ɔ m ˈ t ʋ ɪ s t ə l ɪə/
uomtvisteligere,/ʉ ɔ m ˈ t ʋ ɪ s t ə l ɪ ɾ ə/
uomtvisteligst,/ʉ ɔ m ˈ t ʋ ɪ s t ə l ɪ k s t/
uomtvisteligste,/ʉ ɔ m ˈ t ʋ ɪ s t ə l ɪ k s t ə/
uoppdragen,/ˈ ʉ ɔ p d ɾ ɑː g ə n/
uovervinnelig,/ʉ o ː ʋ ə ɾ ˈ ʋ ɪ n ə l ɪ/
uovervinnelige,/ʉ o ː ʋ ə ɾ ˈ ʋ ɪ n ə l ɪə/
uovervinneligere,/ʉ o ː ʋ ə ɾ ˈ ʋ ɪ n ə l ɪ ɾ ə/
uovervinneligst,/ʉ o ː ʋ ə ɾ ˈ ʋ ɪ n ə l ɪ k s t/
uovervinneligste,/ʉ o ː ʋ ə ɾ ˈ ʋ ɪ n ə l ɪ k s t ə/
upassende,/ˈ ʉ ː p ɑ s ə n ə/
upersonlig,/ˈ ʉ ː p æ ʂ uː n l ɪ/
upersonlige,/ˈ ʉ ː p æ ʂ uː n l ɪə/
upersonligere,/ˈ ʉ ː p æ ʂ uː n l ɪ ɾ ə/
upersonligst,/ˈ ʉ ː p æ ʂ uː n l ɪ k s t/
upersonligste,/ˈ ʉ ː p æ ʂ uː n l ɪ k s t ə/
upopulær,/ˈ ʉ ː p ʊ p ʉ l æ ː ɾ/
upraktisk,/ˈ ʉ ː p ɾ ɑ k t ɪ s k/
upåklagelig,/ʉ p o ː ˈ k l ɑː g ə l ɪ/
upåklagelige,/ʉ p o ː ˈ k l ɑː g ə l ɪə/
upåklageligere,/ʉ p o ː ˈ k l ɑː g ə l ɪ ɾ ə/
upåklageligst,/ʉ p o ː ˈ k l ɑː g ə l ɪ k s t/
upåklageligste,/ʉ p o ː ˈ k l ɑː g ə l ɪ k s t ə/
upålitelig,/ˈ ʉ ː p ɔ l iː t ə l ɪ/
upålitelige,/ˈ ʉ ː p ɔ l iː t ə l ɪə/
upåliteligere,/ˈ ʉ ː p ɔ l iː t ə l ɪ ɾ ə/
upåliteligst,/ˈ ʉ ː p ɔ l iː t ə l ɪ k s t/
upåliteligste,/ˈ ʉ ː p ɔ l iː t ə l ɪ k s t ə/
upåvirkelig,/ʉ p ɔ ˈ ʋ ɪ ɾ k ə l ɪ/
upåvirkelige,/ʉ p ɔ ˈ ʋ ɪ ɾ k ə l ɪə/
upåvirkeligere,/ʉ p ɔ ˈ ʋ ɪ ɾ k ə l ɪ ɾ ə/
upåvirkeligst,/ʉ p ɔ ˈ ʋ ɪ ɾ k ə l ɪ k s t/
upåvirkeligste,/ʉ p ɔ ˈ ʋ ɪ ɾ k ə l ɪ k s t ə/
ur,/ʉ ː ɾ/
uransakelig,/ʉ ː ɾ ɑ n ˈ s ɑː k ə l ɪ/
uransakelige,/ʉ ː ɾ ɑ n ˈ s ɑː k ə l ɪə/
uransakeligere,/ʉ ː ɾ ɑ n ˈ s ɑː k ə l ɪ ɾ ə/
uransakeligst,/ʉ ː ɾ ɑ n ˈ s ɑː k ə l ɪ k s t/
uransakeligste,/ʉ ː ɾ ɑ n ˈ s ɑː k ə l ɪ k s t ə/
urban,/ʉ ɾ ˈ b ɑː n/
uredd,/ˈ ʉ ː ɾ ɛ d/
uredelig,/ʉ ː ˈ ɾ e ː d ə l ɪ/
uredelige,/ʉ ː ˈ ɾ e ː d ə l ɪə/
uredeligere,/ʉ ː ˈ ɾ e ː d ə l ɪ ɾ ə/
uredeligst,/ʉ ː ˈ ɾ e ː d ə l ɪ k s t/
uredeligste,/ʉ ː ˈ ɾ e ː d ə l ɪ k s t ə/
uregelmessig,/ˈ ʉ ː ɾ e ː g ə l m ɛ s ɪ/
uregelmessige,/ˈ ʉ ː ɾ e ː g ə l m ɛ s ɪə/
uregelmessigere,/ˈ ʉ ː ɾ e ː g ə l m ɛ s ɪ ɾ ə/
uregelmessigst,/ˈ ʉ ː ɾ e ː g ə l m ɛ s ɪ k s t/
uregelmessigste,/ˈ ʉ ː ɾ e ː g ə l m ɛ s ɪ k s t ə/
ureglementert,/ˈ ʉ ː ɾ æɪ l ə m ə n t e ː ʈ/
urenslig,/ʉ ˈ ɾ e ː n ʂ ɭ ɪ/
urenslige,/ʉ ˈ ɾ e ː n ʂ ɭ ɪə/
urensligere,/ʉ ˈ ɾ e ː n ʂ ɭ ɪ ɾ ə/
urensligst,/ʉ ˈ ɾ e ː n ʂ ɭ ɪ k s t/
urensligste,/ʉ ˈ ɾ e ː n ʂ ɭ ɪ k s t ə/
urett,/ˈ ʉ ː ɾ ɛ t/
urettferdig,/ˈ ʉ ː ɾ ə t f æ ɖ ɪ/
urettferdige,/ˈ ʉ ː ɾ ə t f æ ɖ ɪə/
urettferdigere,/ˈ ʉ ː ɾ ə t f æ ɖ ɪ ɾ ə/
urettferdigst,/ˈ ʉ ː ɾ ə t f æ ɖ ɪ k s t/
urettferdigste,/ˈ ʉ ː ɾ ə t f æ ɖ ɪ k s t ə/
uriktig,/ʉ ˈ ɾ ɪ k t ɪ/
uriktige,/ʉ ˈ ɾ ɪ k t ɪə/
uriktigere,/ʉ ˈ ɾ ɪ k t ɪ ɾ ə/
uriktigst,/ʉ ˈ ɾ ɪ k t ɪ k s t/
uriktigste,/ʉ ˈ ɾ ɪ k t ɪ k s t ə/
urimelig,"/ʉ ˈ ɾ iː m ə l ɪ/, /ʉ ˈ ɾ iː m l ɪ/"
urimelige,/ʉ ˈ ɾ iː m ə l ɪə/
urimeligere,/ʉ ˈ ɾ iː m ə l ɪ ɾ ə/
urimeligst,/ʉ ˈ ɾ iː m ə l ɪ k s t/
urimeligste,/ʉ ˈ ɾ iː m ə l ɪ k s t ə/
urin,/ʉ ˈ ɾ iː n/
urmaker,/ˈ ʉ ː ɾ m ɑː k ə ɾ/
uro,/ˈ ʉ ː ɾ uː/
uroe,/ˈ ʉ ː ɾ uː ə/
urokkelig,/ʉ ˈ ɾ ɔ k ə l ɪ/
urokkelige,/ʉ ˈ ɾ ɔ k ə l ɪə/
urokkeligere,/ʉ ˈ ɾ ɔ k ə l ɪ ɾ ə/
urokkeligst,/ʉ ˈ ɾ ɔ k ə l ɪ k s t/
urokkeligste,/ʉ ˈ ɾ ɔ k ə l ɪ k s t ə/
urolig,/ʉ ˈ ɾ uː l ɪ/
urolige,/ʉ ˈ ɾ uː l ɪə/
uroligere,/ʉ ˈ ɾ uː l ɪ ɾ ə/
uroligst,/ʉ ˈ ɾ uː l ɪ k s t/
uroligste,/ʉ ˈ ɾ uː l ɪ k s t ə/
urter,/ʉ ʈ ə ɾ/
uryddig,/ʉ ˈ ɾ ʏ d ɪ/
uryddige,/ʉ ˈ ɾ ʏ d ɪə/
uryddigere,/ʉ ˈ ɾ ʏ d ɪ ɾ ə/
uryddigst,/ʉ ˈ ɾ ʏ d ɪ k s t/
uryddigste,/ʉ ˈ ɾ ʏ d ɪ k s t ə/
urørlig,/ʉ ˈ ɾ ø ː ɭ ɪ/
urørlige,/ʉ ˈ ɾ ø ː ɭ ɪə/
urørligere,/ʉ ˈ ɾ ø ː ɭ ɪ ɾ ə/
urørligst,/ʉ ˈ ɾ ø ː ɭ ɪ k s t/
urørligste,/ʉ ˈ ɾ ø ː ɭ ɪ k s t ə/
usaklig,/ʉ ˈ s ɑː k l ɪ/
usaklige,/ʉ ˈ s ɑː k l ɪə/
usakligere,/ʉ ˈ s ɑː k l ɪ ɾ ə/
usakligst,/ʉ ˈ s ɑː k l ɪ k s t/
usakligste,/ʉ ˈ s ɑː k l ɪ k s t ə/
usann,/ˈ ʉ ː s ɑ n/
usannsynlig,/ʉ s ɑ n ˈ s y ː n l ɪ/
usannsynlige,/ˈ ʉ ː s ɑ n s y ː n l ɪə/
usannsynligere,/ˈ ʉ ː s ɑ n s y ː n l ɪ ɾ ə/
usannsynligst,/ˈ ʉ ː s ɑ n s y ː n l ɪ k s t/
usannsynligste,/ˈ ʉ ː s ɑ n s y ː n l ɪ k s t ə/
usedvanlig,/ʉ ː s ɛ d ˈ ʋ ɑː n l ɪ/
usedvanlige,/ʉ ː s ɛ d ˈ ʋ ɑː n l ɪə/
usedvanligere,/ʉ ː s ɛ d ˈ ʋ ɑː n l ɪ ɾ ə/
usedvanligst,/ʉ ː s ɛ d ˈ ʋ ɑː n l ɪ k s t/
usedvanligste,/ʉ ː s ɛ d ˈ ʋ ɑː n l ɪ k s t ə/
usigelig,/ʉ ˈ s iː g ə l ɪ/
usigelige,/ʉ ˈ s iː g ə l ɪə/
usigeligere,/ʉ ˈ s iː g ə l ɪ ɾ ə/
usigeligst,/ʉ ˈ s iː g ə l ɪ k s t/
usigeligste,/ʉ ˈ s iː g ə l ɪ k s t ə/
usikker,/ˈ ʉ ː s ɪ k ə ɾ/
usjenert,/ˈ ʉ ː ʂ ə n e ː ʈ/
uskadelig,/ʉ ˈ s k ɑː d ə l ɪ/
uskadelige,/ʉ ˈ s k ɑː d ə l ɪə/
uskadeligere,/ʉ ˈ s k ɑː d ə l ɪ ɾ ə/
uskadeligst,/ʉ ˈ s k ɑː d ə l ɪ k s t/
uskadeligste,/ʉ ˈ s k ɑː d ə l ɪ k s t ə/
uskarp,/ˈ ʉ ː s k ɑ ɾ p/
uskyld,/ˈ ʉ ː ʂ ʏ l/
uskyldig,/ʉ ˈ ʂ ʏ l d ɪ/
uskyldige,/ʉ ˈ ʂ ʏ l d ɪə/
uskyldigere,/ʉ ˈ ʂ ʏ l d ɪ ɾ ə/
uskyldigst,/ʉ ˈ ʂ ʏ l d ɪ k s t/
uskyldigste,/ʉ ˈ ʂ ʏ l d ɪ k s t ə/
usmakelig,/ʉ ˈ s m ɑː k ə l ɪ/
usmakelige,/ʉ ˈ s m ɑː k ə l ɪə/
usmakeligere,/ʉ ˈ s m ɑː k ə l ɪ ɾ ə/
usmakeligst,/ʉ ˈ s m ɑː k ə l ɪ k s t/
usmakeligste,/ʉ ˈ s m ɑː k ə l ɪ k s t ə/
ussel,/ˈ ʉ s ə l/
ustabil,/ˈ ʉ ː s t ɑ b iː l/
ustadig,/ˈ ʉ ː s t ɑː d ɪ/
ustadige,/ˈ ʉ ː s t ɑː d ɪə/
ustadigere,/ˈ ʉ ː s t ɑː d ɪ ɾ ə/
ustadigst,/ˈ ʉ ː s t ɑː d ɪ k s t/
ustadigste,/ˈ ʉ ː s t ɑː d ɪ k s t ə/
ustanselig,/ʉ ˈ s t ɑ n s ə l ɪ/
ustanselige,/ʉ ˈ s t ɑ n s ə l ɪə/
ustanseligere,/ʉ ˈ s t ɑ n s ə l ɪ ɾ ə/
ustanseligst,/ʉ ˈ s t ɑ n s ə l ɪ k s t/
ustanseligste,/ʉ ˈ s t ɑ n s ə l ɪ k s t ə/
ustelt,/ˈ ʉ ː s t ɛ l t/
ustyrlig,/ʉ ˈ s t y ː ɭ ɪ/
ustyrlige,/ʉ ˈ s t y ː ɭ ɪə/
ustyrligere,/ʉ ˈ s t y ː ɭ ɪ ɾ ə/
ustyrligst,/ʉ ˈ s t y ː ɭ ɪ k s t/
ustyrligste,/ʉ ˈ s t y ː ɭ ɪ k s t ə/
ustyrtelig,/ʉ ˈ s t ʏ ʈ ə l ɪ/
ustyrtelige,/ʉ ˈ s t ʏ ʈ ə l ɪə/
ustyrteligere,/ʉ ˈ s t ʏ ʈ ə l ɪ ɾ ə/
ustyrteligst,/ʉ ˈ s t ʏ ʈ ə l ɪ k s t/
ustyrteligste,/ʉ ˈ s t ʏ ʈ ə l ɪ k s t ə/
ustø,/ˈ ʉ ː s t ø ː/
usunn,/ˈ ʉ ː s ʉ n/
usynlig,/ʉ ˈ s y ː n l ɪ/
usynlige,/ʉ ˈ s y ː n l ɪə/
usynligere,/ʉ ˈ s y ː n l ɪ ɾ ə/
usynligst,/ʉ ˈ s y ː n l ɪ k s t/
usynligste,/ʉ ˈ s y ː n l ɪ k s t ə/
usystematisk,/ˈ ʉ ː s ʏ s t ə m ɑː t ɪ s k/
ut,/ˈ ʉ ː t/
utakknemlig,/ˈ ʉ ː t ɑ k n ɛ m l ɪ/
utakknemlige,/ˈ ʉ ː t ɑ k n ɛ m l ɪə/
utakknemligere,/ˈ ʉ ː t ɑ k n ɛ m l ɪ ɾ ə/
utakknemligst,/ˈ ʉ ː t ɑ k n ɛ m l ɪ k s t/
utakknemligste,/ˈ ʉ ː t ɑ k n ɛ m l ɪ k s t ə/
utallig,/ʉ ˈ t ɑ l ɪ/
utallige,/ʉ ˈ t ɑ l ɪə/
utalligere,/ʉ ˈ t ɑ l ɪ ɾ ə/
utalligst,/ʉ ˈ t ɑ l ɪ k s t/
utalligste,/ʉ ˈ t ɑ l ɪ k s t ə/
utbasunere,/ˈ ʉ ː t b ɑ ʂ ʉ n e ː ɾ ə/
utbedre,/ˈ ʉ ː t b e ː d ɾ ə/
utbrent,/ˈ ʉ ː t b ɾ ɛ n t/
utbryte,/ˈ ʉ ː t b ɾ y ː t ə/
utbytte,/ˈ ʉ ː t b ʏ t ə/
utdanne,/ˈ ʉ ː t d ɑ n ə/
utdannelse,/ˈ ʉ t d ɑ n ɛ l s ə/
utdanning,/ˈ ʉ ː t d ɑ n ɪ ŋ/
utdype,/ˈ ʉ ː t d y ː p ə/
utdødd,/ˈ ʉ ː t d œ d/
ute,/ʉ ː t ə/
utebli,/ˈ ʉ ː t ə b l iː/
utelate,/ˈ ʉ ː t ə l ɑː t ə/
utelukke,/ˈ ʉ ː t ə l ʊ k ə/
uten,"/ˈ ʉ ː t ə n/, /ˈ ʉ ː t n̩/"
utendørs,/ˈ ʉ ː t ə n ø ː ʂ/
utenfor,/ˈ ʉ ː t ə n f ɔ ɾ/
utenforstående,/ˈ ʉ ː t ə n f ɔ ʂ t o ː ə n ə/
utenlandsk,/ˈ ʉ ː t ə n l ɑ n s k/
utenlandssamtale,/ʉ ː t ə n l ɑ n s ɑ m t ɑː l ə/
utenom,/ʉ ː t ə n ʊ m/
utenpå,/ʉ ː t ə n p ɔ/
utenriks,/ˈ ʉ ː t ə n ɾ ɪ k s/
utenriksfly,/ʉ ː t ə n ɾ ɪ k s f l y ː/
utflukt,/ʉ ː t f l ʉ k t/
utfolde,/ˈ ʉ ː t f ɔ l ə/
utfordre,/ˈ ʉ ː t f ɔ ɖ ɾ ə/
utfordrende,/ˈ ʉ ː t f ɔ ɖ ɾ ə n ə/
utfordring,/ˈ ʉ ː t f ɔ ɖ ɾ ɪ ŋ/
utfore,/ˈ ʉ ː t f ø ː ɾ ə/
utforske,/ˈ ʉ ː t f ɔ ʂ k ə/
utføre,/ˈ ʉ ː t f ø ː ɾ ə/
utførlig,/ʉ ː t ˈ f ø ː ɭ ɪ/
utførlige,/ʉ ː t ˈ f ø ː ɭ ɪə/
