abbor  aa b ao r
umerkeligste  uh m ae r k ax l ih k s t ax
umettelig  uh m eh t ax l ih
umettelige  uh m eh t ax l ih ax
umetteligere  uh m eh t ax l ih r ax
umetteligst  uh m eh t ax l ih k s t
umetteligste  uh m eh t ax l ih k s t ax
umiddelbar  uh m ih d ax l b aa r
umiskjennelig  uh m ih s xh eh n ax l ih
umiskjennelige  uh m ih s xh eh n ax l ih ax
umiskjenneligere  uh m ih s xh eh n ax l ih r ax
umiskjenneligst  uh m ih s xh eh n ax l ih k s t
umiskjenneligste  uh m ih s xh eh n ax l ih k s t ax
umistelig  uh m ih s t ax l ih
umistelige  uh m ih s t ax l ih ax
umisteligere  uh m ih s t ax l ih r ax
umisteligst  uh m ih s t ax l ih k s t
umisteligste  uh m ih s t ax l ih k s t ax
umoden  uh m uu d ax n
umoderne  uh m uh d ae ng ax
umoralsk  uh m uh r aa l s k
umulig  uh m uh l ih
umulige  uh m uh l ih ax
umuligere  uh m uh l ih r ax
umuligst  uh m uh l ih k s t
umuligste  uh m uh l ih k s t ax
umyndig  uh m ue n ih
umyndige  uh m ue n ih ax
umyndigere  uh m ue n ih r ax
umyndigst  uh m ue n ih k s t
umyndigste  uh m ue n ih k s t ax
unaturlig  uh n aa t uh l ih
unaturlige  uh n aa t uh l ih ax
unaturligere  uh n aa t uh l ih r ax
unaturligst  uh n aa t uh l ih k s t
unaturligste  uh n aa t uh l ih k s t ax
und  ao n t
under  uh n ax r
underbukse  uh n ax r b uh k s ax
underbygge  uh n ax r b ue g ax
underdanig  uh n ax d aa n ih
underdanige  uh n ax d aa n ih ax
underdanigere  uh n ax d aa n ih r ax
underdanigst  uh n ax d aa n ih k s t
underdanigste  uh n ax d aa n ih k s t ax
underfundig  uh n ax r f uh n ih
underfundige  uh n ax r f uh n ih ax
underfundigere  uh n ax r f uh n ih r ax
underfundigst  uh n ax r f uh n ih k s t
underfundigste  uh n ax r f uh n ih k s t ax
undergrave  uh n ax r g r aa v ax
underholde  uh n ax r hh ao l ax
underholdning  uh n ax r hh ao l n ih ng
underkaste  uh n ax r k aa s t ax
underkjenne  uh n ax r xh eh n ax
underkue  uh n ax r k uh ax
underlegen  uh n ax l ee g ax n
underlig  uh n ax l ih
underlige  uh n ax l ih ax
underligere  uh n ax l ih r ax
underligst  uh n ax l ih k s t
underligste  uh n ax l ih k s t ax
underliv  uh n ax l iy v
undermåls  uh n ax r m oo l s
underrette  uh n ax r eh t ax
underskrift  uh n ax sz k r ih f t
underskrive  uh n ax sz k r iy v ax
underslå  uh n ax sz l oo
understreke  uh n ax sz t r ee k ax
understøtte  uh n ax sz t oe t ax
undersøke  uh n ax sz oeh k ax
undersøkelse  uh n ax sz oeh k eh l s ax
undertegne  uh n ax t ay n ax
undertittel  uh n ax t ih t ax l
undertrykke  uh n ax t r ue k ax
undertrøye  uh n ax t r oe j ax
undertøy  uh n ax t oe j
undervannskamera  uh n ax r v aa n s k aa m ee r aa
underveis  uh n ax r v ay s
undervise  uh n ax r v iy s ax
undervurdere  uh n ax r v uh d ee r ax
undre  uh n d r ax
undre seg  uh n d r ax s ay
undre seg over  uh n d r ax s ay oo v ax r
unektelig  uh n eh k t ax l ih
unektelige  uh n eh k t ax l ih ax
unekteligere  uh n eh k t ax l ih r ax
unekteligst  uh n eh k t ax l ih k s t
unekteligste  uh n eh k t ax l ih k s t ax
ung  uh ng
ungdom  uh ng d ao m
ungdommelig  uh ng d ao m ax l ih
ungdommelige  uh ng d ao m ax l ih ax
ungdommeligere  uh ng d ao m ax l ih r ax
ungdommeligst  uh ng d ao m ax l ih k s t
ungdommeligste  uh ng d ao m ax l ih k s t ax
ungjente  uh ng j eh n t ax
ungkar  uh ng k aa r
ungmøy  uh ng m oe j
ungnaut  uh ng n ae w t
unik  uh n iy k
unison  uh n ih s uu n
universell  uh n ih v ae sz eh l
universitet  uh n ih v ae sz ih t ee t
unndra  uh n d r aa
unne  uh n ax
unnfange  uh n f aa ng ax
unngjelde  uh n j eh l ax
unngå  uh ng oo
unnlate  uh n l aa t ax
unnskylde  uh n sz ue l ax
unnskylde seg  uh n sz ue l ax s ae iy
unnskyldning  uh n sz ue l n ih ng
unnta  uh n t aa
unntatt  uh n t aa t
unnvikende  uh n v iy k ax n ax
unnvære  uh n v ae r ax
uns  ao n s
unyttig  uh n ue t ih
unyttige  uh n ue t ih ax
unyttigere  uh n ue t ih r ax
unyttigst  uh n ue t ih k s t
unyttigste  uh n ue t ih k s t ax
unødig  uh n oeh d ih
unødige  uh n oeh d ih ax
unødigere  uh n oeh d ih r ax
unødigst  uh n oeh d ih k s t
unødigste  uh n oeh d ih k s t ax
unødvendig  uh n oe d v eh n ih
unødvendige  uh n oe d v eh n ih ax
unødvendigere  uh n oe d v eh n ih r ax
unødvendigst  uh n oe d v eh n ih k s t
unødvendigste  uh n oe d v eh n ih k s t ax
unøyaktig  uh n oe j aa k t ih
unøyaktige  uh n oe j aa k t ih ax
unøyaktigere  uh n oe j aa k t ih r ax
unøyaktigst  uh n oe j aa k t ih k s t
unøyaktigste  uh n oe j aa k t ih k s t ax
uomtvistelig  uh ao m t v ih s t ax l ih
uomtvistelige  uh ao m t v ih s t ax l ih ax
uomtvisteligere  uh ao m t v ih s t ax l ih r ax
uomtvisteligst  uh ao m t v ih s t ax l ih k s t
uomtvisteligste  uh ao m t v ih s t ax l ih k s t ax
uoppdragen  uh ao p d r aa g ax n
uovervinnelig  uh oo v ax r v ih n ax l ih
uovervinnelige  uh oo v ax r v ih n ax l ih ax
uovervinneligere  uh oo v ax r v ih n ax l ih r ax
uovervinneligst  uh oo v ax r v ih n ax l ih k s t
uovervinneligste  uh oo v ax r v ih n ax l ih k s t ax
upassende  uh p aa s ax n ax
upersonlig  uh p ae sz uu n l ih
upersonlige  uh p ae sz uu n l ih ax
upersonligere  uh p ae sz uu n l ih r ax
upersonligst  uh p ae sz uu n l ih k s t
upersonligste  uh p ae sz uu n l ih k s t ax
upopulær  uh p uh p uh l ae r
upraktisk  uh p r aa k t ih s k
upåklagelig  uh p oo k l aa g ax l ih
upåklagelige  uh p oo k l aa g ax l ih ax
upåklageligere  uh p oo k l aa g ax l ih r ax
upåklageligst  uh p oo k l aa g ax l ih k s t
upåklageligste  uh p oo k l aa g ax l ih k s t ax
upålitelig  uh p ao l iy t ax l ih
upålitelige  uh p ao l iy t ax l ih ax
upåliteligere  uh p ao l iy t ax l ih r ax
upåliteligst  uh p ao l iy t ax l ih k s t
upåliteligste  uh p ao l iy t ax l ih k s t ax
upåvirkelig  uh p ao v ih r k ax l ih
upåvirkelige  uh p ao v ih r k ax l ih ax
upåvirkeligere  uh p ao v ih r k ax l ih r ax
upåvirkeligst  uh p ao v ih r k ax l ih k s t
upåvirkeligste  uh p ao v ih r k ax l ih k s t ax
ur  uh r
uransakelig  uh r aa n s aa k ax l ih
uransakelige  uh r aa n s aa k ax l ih ax
uransakeligere  uh r aa n s aa k ax l ih r ax
uransakeligst  uh r aa n s aa k ax l ih k s t
uransakeligste  uh r aa n s aa k ax l ih k s t ax
urban  uh r b aa n
uredd  uh r eh d
uredelig  uh r ee d ax l ih
uredelige  uh r ee d ax l ih ax
uredeligere  uh r ee d ax l ih r ax
uredeligst  uh r ee d ax l ih k s t
uredeligste  uh r ee d ax l ih k s t ax
uregelmessig  uh r ee g ax l m eh s ih
uregelmessige  uh r ee g ax l m eh s ih ax
uregelmessigere  uh r ee g ax l m eh s ih r ax
uregelmessigst  uh r ee g ax l m eh s ih k s t
uregelmessigste  uh r ee g ax l m eh s ih k s t ax
ureglementert  uh r ay l ax m ax n t ee t
urenslig  uh r ee n sz l ih
urenslige  uh r ee n sz l ih ax
urensligere  uh r ee n sz l ih r ax
urensligst  uh r ee n sz l ih k s t
urensligste  uh r ee n sz l ih k s t ax
urett  uh r eh t
urettferdig  uh r ax t f ae d ih
urettferdige  uh r ax t f ae d ih ax
urettferdigere  uh r ax t f ae d ih r ax
urettferdigst  uh r ax t f ae d ih k s t
urettferdigste  uh r ax t f ae d ih k s t ax
uriktig  uh r ih k t ih
uriktige  uh r ih k t ih ax
uriktigere  uh r ih k t ih r ax
uriktigst  uh r ih k t ih k s t
uriktigste  uh r ih k t ih k s t ax
urimelig  uh r iy m ax l ih
urimelige  uh r iy m ax l ih ax
urimeligere  uh r iy m ax l ih r ax
urimeligst  uh r iy m ax l ih k s t
urimeligste  uh r iy m ax l ih k s t ax
urin  uh r iy n
urmaker  uh r m aa k ax r
uro  uh r uu
uroe  uh r uu ax
urokkelig  uh r ao k ax l ih
urokkelige  uh r ao k ax l ih ax
urokkeligere  uh r ao k ax l ih r ax
urokkeligst  uh r ao k ax l ih k s t
urokkeligste  uh r ao k ax l ih k s t ax
urolig  uh r uu l ih
urolige  uh r uu l ih ax
uroligere  uh r uu l ih r ax
uroligst  uh r uu l ih k s t
uroligste  uh r uu l ih k s t ax
urter  uh t ax r
uryddig  uh r ue d ih
uryddige  uh r ue d ih ax
uryddigere  uh r ue d ih r ax
uryddigst  uh r ue d ih k s t
uryddigste  uh r ue d ih k s t ax
urørlig  uh r oeh l ih
urørlige  uh r oeh l ih ax
urørligere  uh r oeh l ih r ax
urørligst  uh r oeh l ih k s t
urørligste  uh r oeh l ih k s t ax
usaklig  uh s aa k l ih
usaklige  uh s aa k l ih ax
usakligere  uh s aa k l ih r ax
usakligst  uh s aa k l ih k s t
usakligste  uh s aa k l ih k s t ax
usann  uh s aa n
usannsynlig  uh s aa n s ueh n l ih
usannsynlige  uh s aa n s ueh n l ih ax
usannsynligere  uh s aa n s ueh n l ih r ax
usannsynligst  uh s aa n s ueh n l ih k s t
usannsynligste  uh s aa n s ueh n l ih k s t ax
usedvanlig  uh s eh d v aa n l ih
usedvanlige  uh s eh d v aa n l ih ax
usedvanligere  uh s eh d v aa n l ih r ax
usedvanligst  uh s eh d v aa n l ih k s t
usedvanligste  uh s eh d v aa n l ih k s t ax
usigelig  uh s iy g ax l ih
usigelige  uh s iy g ax l ih ax
usigeligere  uh s iy g ax l ih r ax
usigeligst  uh s iy g ax l ih k s t
usigeligste  uh s iy g ax l ih k s t ax
usikker  uh s ih k ax r
usjenert  uh sz ax n ee t
uskadelig  uh s k aa d ax l ih
uskadelige  uh s k aa d ax l ih ax
uskadeligere  uh s k aa d ax l ih r ax
uskadeligst  uh s k aa d ax l ih k s t
uskadeligste  uh s k aa d ax l ih k s t ax
uskarp  uh s k aa r p
uskyld  uh sz ue l
uskyldig  uh sz ue l d ih
uskyldige  uh sz ue l d ih ax
uskyldigere  uh sz ue l d ih r ax
uskyldigst  uh sz ue l d ih k s t
uskyldigste  uh sz ue l d ih k s t ax
usmakelig  uh s m aa k ax l ih
usmakelige  uh s m aa k ax l ih ax
usmakeligere  uh s m aa k ax l ih r ax
usmakeligst  uh s m aa k ax l ih k s t
usmakeligste  uh s m aa k ax l ih k s t ax
ussel  uh s ax l
ustabil  uh s t aa b iy l
ustadig  uh s t aa d ih
ustadige  uh s t aa d ih ax
ustadigere  uh s t aa d ih r ax
ustadigst  uh s t aa d ih k s t
ustadigste  uh s t aa d ih k s t ax
ustanselig  uh s t aa n s ax l ih
ustanselige  uh s t aa n s ax l ih ax
ustanseligere  uh s t aa n s ax l ih r ax
ustanseligst  uh s t aa n s ax l ih k s t
ustanseligste  uh s t aa n s ax l ih k s t ax
ustelt  uh s t eh l t
ustyrlig  uh s t ueh l ih
ustyrlige  uh s t ueh l ih ax
ustyrligere  uh s t ueh l ih r ax
ustyrligst  uh s t ueh l ih k s t
ustyrligste  uh s t ueh l ih k s t ax
ustyrtelig  uh s t ue t ax l ih
ustyrtelige  uh s t ue t ax l ih ax
ustyrteligere  uh s t ue t ax l ih r ax
ustyrteligst  uh s t ue t ax l ih k s t
ustyrteligste  uh s t ue t ax l ih k s t ax
ustø  uh s t oeh
usunn  uh s uh n
usynlig  uh s ueh n l ih
usynlige  uh s ueh n l ih ax
usynligere  uh s ueh n l ih r ax
usynligst  uh s ueh n l ih k s t
usynligste  uh s ueh n l ih k s t ax
usystematisk  uh s ue s t ax m aa t ih s k
ut  uh t
utakknemlig  uh t aa k n eh m l ih
utakknemlige  uh t aa k n eh m l ih ax
utakknemligere  uh t aa k n eh m l ih r ax
utakknemligst  uh t aa k n eh m l ih k s t
utakknemligste  uh t aa k n eh m l ih k s t ax
utallig  uh t aa l ih
utallige  uh t aa l ih ax
utalligere  uh t aa l ih r ax
utalligst  uh t aa l ih k s t
utalligste  uh t aa l ih k s t ax
utbasunere  uh t b aa sz uh n ee r ax
utbedre  uh t b ee d r ax
utbrent  uh t b r eh n t
utbryte  uh t b r ueh t ax
utbytte  uh t b ue t ax
utdanne  uh t d aa n ax
utdannelse  uh t d aa n eh l s ax
utdanning  uh t d aa n ih ng
utdype  uh t d ueh p ax
utdødd  uh t d oe d
ute  uh t ax
utebli  uh t ax b l iy
utelate  uh t ax l aa t ax
utelukke  uh t ax l uh k ax
uten  uh t ax n
utendørs  uh t ax n oeh sz
utenfor  uh t ax n f ao r
utenforstående  uh t ax n f ao sz t oo ax n ax
utenlandsk  uh t ax n l aa n s k
utenlandssamtale  uh t ax n l aa n s aa m t aa l ax
utenom  uh t ax n uh m
utenpå  uh t ax n p ao
utenriks  uh t ax n r ih k s
utenriksfly  uh t ax n r ih k s f l ueh
utflukt  uh t f l uh k t
utfolde  uh t f ao l ax
utfordre  uh t f ao d r ax
utfordrende  uh t f ao d r ax n ax
utfordring  uh t f ao d r ih ng
utfore  uh t f oeh r ax
utforske  uh t f ao sz k ax
utføre  uh t f oeh r ax
utførlig  uh t f oeh l ih
utførlige  uh t f oeh l ih ax
utførligere  uh t f oeh l ih r ax
utførligst  uh t f oeh l ih k s t
utførligste  uh t f oeh l ih k s t ax
utgang  uh t g aa ng
utgave  uh t g aa v ax
utgi  uh t j iy
utgift  uh t j ih f t
utgjøre  uh t j oeh r ax
utheve  uh t h ee v ax
utholdende  uh t h ao l ax n ax
utilgivelig  uh t ih l j iy v ax l ih
utilgivelige  uh t ih l j iy v ax l ih ax
utilgiveligere  uh t ih l j iy v ax l ih r ax
utilgiveligst  uh t ih l j iy v ax l ih k s t
utilgiveligste  uh t ih l j iy v ax l ih k s t ax
utilrådelig  uh t ih l r oo d l ih
utilstrekkelig  uh t ih l s t r eh k ax l ih
utilstrekkelige  uh t ih l s t r eh k ax l ih ax
utilstrekkeligere  uh t ih l s t r eh k ax l ih r ax
utilstrekkeligst  uh t ih l s t r eh k ax l ih k s t
utilstrekkeligste  uh t ih l s t r eh k ax l ih k s t ax
utkast  uh t k aa s t
utkjørt  uh t xh oeh t
utland  uh t l aa n
utlending  uh t l eh n ih ng
utløpe  uh t l oeh p ax
utløse  uh t l oeh s ax
utløser  uh t l oeh s ax r
utmerke  uh t m ae r k ax
utmerket  uh t m ae r k ax t
utnytte  uh t n ue t ax
utopisk  uh t uu p ih s k
utpreget  uh t p r ee g ax t
utrede  uh t r ee d ax
utreise  uh t r ay s ax
utrette  uh t r eh t ax
utrivelig  uh t r iy v ax l ih
utrivelige  uh t r iy v ax l ih ax
utriveligere  uh t r iy v ax l ih r ax
utriveligst  uh t r iy v ax l ih k s t
utriveligste  uh t r iy v ax l ih k s t ax
utrolig  uh t r uu l ih
utrolige  uh t r uu l ih ax
utroligere  uh t r uu l ih r ax
utroligst  uh t r uu l ih k s t
utroligste  uh t r uu l ih k s t ax
utrydde  uh t r ue d ax
utrygg  uh t r ue g
utsalg  uh t s aa l g
utseende  uh t s ee ax n ax
utsette  uh t s eh t ax
utsikt  uh t s ih k t
utsiktspunkt  uh t s ih k t s p uh ng t
utslett  uh t sz l eh t
utslette  uh t sz l eh t ax
utspekulert  uh t s p ax k uh l ee t
utstilling  uh t s t ih l ih ng
utstillingsgjenstand  uh t s t ih l ih ng s j eh n s t aa n
utstillingsvindu  uh t s t ih l ih ng s v ih n uh
utstrakt  uh t s t r aa k t
utstyre  uh t s t ueh r ax
utstøte  uh t s t oeh t ax
utstå  uh t s t oo
utsøkt  uh t s oeh k t
uttale  uh t aa l ax
uttrykk  uh t r ue k
uttrykke  uh t r ue k ax
uttrykkelig  uh t r ue k ax l ih
uttrykksløs  uh t r ue k s l oeh s
uttømmende  uh t oe m ax n ax
utuktig  uh t uh k t ih
utuktige  uh t uh k t ih ax
utuktigere  uh t uh k t ih r ax
utuktigst  uh t uh k t ih k s t
utuktigste  uh t uh k t ih k s t ax
utvalg  uh t v aa l g
utvandre  uh t v aa n d r ax
utveksle  uh t v eh k sz l ax
utvetydig  uh t v eh t ueh d ih
utvetydige  uh t v eh t ueh d ih ax
utvetydigere  uh t v eh t ueh d ih r ax
utvetydigst  uh t v eh t ueh d ih k s t
utvetydigste  uh t v eh t ueh d ih k s t ax
utvide  uh t v iy d ax
utvikle  uh t v ih k l ax
utvikling  uh t v ih k l ih ng
utvilsom  uh t v iy l s ao m
utvise  uh t v iy s ax
utvortes  uh t v uh t ax s
utvungen  uh t v uh ng ax n
utydelig  uh t ueh d ax l ih
utydelige  uh t ueh d ax l ih ax
utydeligere  uh t ueh d ax l ih r ax
utydeligst  uh t ueh d ax l ih k s t
utydeligste  uh t ueh d ax l ih k s t ax
utøve  uh t oeh v ax
utålelig  uh t oo l ax l ih
utålelige  uh t oo l ax l ih ax
utåleligere  uh t oo l ax l ih r ax
utåleligst  uh t oo l ax l ih k s t
utåleligste  uh t oo l ax l ih k s t ax
utålmodig  uh t ao l m uu d ih
utålmodige  uh t ao l m uu d ih ax
utålmodigere  uh t ao l m uu d ih r ax
utålmodigst  uh t ao l m uu d ih k s t
utålmodigste  uh t ao l m uu d ih k s t ax
uunngåelig  uh uh ng oo ax l ih
uunngåelige  uh uh ng oo ax l ih ax
uunngåeligere  uh uh ng oo ax l ih r ax
uunngåeligst  uh uh ng oo ax l ih k s t
uunngåeligste  uh uh ng oo ax l ih k s t ax
uunnværlig  uh uh n v ae l ih
uunnværlige  uh uh n v ae l ih ax
uunnværligere  uh uh n v ae l ih r ax
uunnværligst  uh uh n v ae l ih k s t
uunnværligste  uh uh n v ae l ih k s t ax
uutgrunnelig  uh uh t g r uh n ax l ih
uutgrunnelige  uh uh t g r uh n ax l ih ax
uutgrunneligere  uh uh t g r uh n ax l ih r ax
uutgrunneligst  uh uh t g r uh n ax l ih k s t
uutgrunneligste  uh uh t g r uh n ax l ih k s t ax
uutholdelig  uh uh t h ao l d ax l ih
uutholdelige  uh uh t h ao l d ax l ih ax
uutholdeligere  uh uh t h ao l d ax l ih r ax
uutholdeligst  uh uh t h ao l d ax l ih k s t
uutholdeligste  uh uh t h ao l d ax l ih k s t ax
uutslettelig  uh uh t sz l eh t ax l ih
uutslettelige  uh uh t sz l eh t ax l ih ax
uutsletteligere  uh uh t sz l eh t ax l ih r ax
uutsletteligst  uh uh t sz l eh t ax l ih k s t
uutsletteligste  uh uh t sz l eh t ax l ih k s t ax
uvanlig  uh v aa n l ih
uvanlige  uh v aa n l ih ax
uvanligere  uh v aa n l ih r ax
uvanligst  uh v aa n l ih k s t
uvanligste  uh v aa n l ih k s t ax
uvant  uh v aa n t
uvedkommende  uh v ee d k ao m ax n ax
uvel  uh v eh l
uvelkommen  uh v ax l k ao m ax n
uvenn  uh v eh n
uventa  uh v eh n t ax t
uventet  uh v eh n t ax t
uverdig  uh v ae d ih
uverdige  uh v ae d ih ax
uverdigere  uh v ae d ih r ax
uverdigst  uh v ae d ih k s t
uverdigste  uh v ae d ih k s t ax
uvesentlig  uh v ee s ax n t l ih
uvesentlige  uh v ee s ax n t l ih ax
uvesentligere  uh v ee s ax n t l ih r ax
uvesentligst  uh v ee s ax n t l ih k s t
uvesentligste  uh v ee s ax n t l ih k s t ax
uvettig  uh v eh t ih
uvettige  uh v eh t ih ax
uvettigere  uh v eh t ih r ax
uvettigst  uh v eh t ih k s t
uvettigste  uh v eh t ih k s t ax
uviktig  uh v ih k t ih
uvilkårlig  uh v ih l k oo l ih
uvilkårlige  uh v ih l k oo l ih ax
uvilkårligere  uh v ih l k oo l ih r ax
uvilkårligst  uh v ih l k oo l ih k s t
uvilkårligste  uh v ih l k oo l ih k s t ax
uvillig  uh v ih l ih
uvillige  uh v ih l ih ax
uvilligere  uh v ih l ih r ax
uvilligst  uh v ih l ih k s t
uvilligste  uh v ih l ih k s t ax
uviss  uh v ih s
uvitende  uh v iy t ax n ax
uvurderlig  uh v uh d ee l ih
uvurderlige  uh v uh d ee l ih ax
uvurderligere  uh v uh d ee l ih r ax
uvurderligst  uh v uh d ee l ih k s t
uvurderligste  uh v uh d ee l ih k s t ax
uærlig  uh ae l ih
uærlige  uh ae l ih ax
uærligere  uh ae l ih r ax
uærligst  uh ae l ih k s t
uærligste  uh ae l ih k s t ax
vade  v aa d ax
vag  v aa g
vagge  v aa g ax
vaie  v aa j ax
vake  v aa k ax
vaken  v oo k ax n
vakker  v aa k ax r
vakle  v aa k l ax
vaklevoren  v aa k l ax v uu r ax n
vaksinasjon  v aa k s ih n aa sz uu n
vaksinasjonsattest  v aa k s ih n aa sz uu n s aa t eh s t
vaksinere  v aa k s ih n ee r ax
vakt  v aa k t
vaktskifte  v aa k t sz ih f t ax
valen  v aa l ax n
valene  v aa l n ax
valfarte  v aa l f aa t ax
valg  v aa l g
valgfri  v aa l g f r iy
valgte  v aa l k t ax
valp  v aa l p
valse  v aa l s ax
valuta  v aa l uh t aa
vandalisere  v aa n aa l ih s ee r ax
vandel  v aa n d ax l
vandre  v aa n d r ax
vandresti  v aa n d r ax s t iy
vanhellige  v aa n h eh l ih ax
vanilje  v aa n ih l j ax
vanke  v aa ng k ax
vanlig  v aa n l ih
vanlige  v aa n l ih ax
vanligere  v aa n l ih r ax
vanligst  v aa n l ih k s t
vanligste  v aa n l ih k s t ax
vanmakt  v aa n m aa k t
vann  v aa n
vanne  v aa n ax
vannfarge  v aa m f aa r g ax
vannforbruk  v aa n f ao r b r uh k
vannkanne  v aa n k aa n ax
vannkran  v aa n k r aa n
vannmelon  v aa n m eh l uu n
vannmerke  v aa m ae r k ax
vannrett  v aa n r eh t
vannski  v aa n sz iy
vannskylling  v aa n sz ue l ih ng
vanntett  v aa n t eh t
vansire  v aa n s iy r ax
vanskapt  v aa n s k aa p t
vanskelig  v aa n s k ax l ih
vanskelige  v aa n s k ax l ih ax
vanskeligere  v aa n s k ax l ih r ax
vanskeligst  v aa n s k ax l ih k s t
vanskeligste  v aa n s k ax l ih k s t ax
vanskjøtte  v aa n sz oe t ax
vansmekte  v aa n s m eh k t ax
vant  v aa n t
vante  v aa n t ax
vantrives  v aa n t r iy v ax s
vantro  v aa n t r uu
vanvittig  v aa n v ih t ih
vanvittige  v aa n v ih t ih ax
vanvittigere  v aa n v ih t ih r ax
vanvittigst  v aa n v ih t ih k s t
vanvittigste  v aa n v ih t ih k s t ax
vanære  v aa n ae r ax
var  v aa r
varde  v aa d ax
vare  v aa r ax
varehus  v aa r ax hh uh s
varetektsfengsel  v aa r ax t eh k t s f eh ng s ax l
variabel  v aa r ih aa b ax l
variere  v aa r ih ee r ax
variete  v aa r ih eh t ee
varig  v aa r ih
varige  v aa r ih ax
varigere  v aa r ih r ax
varigst  v aa r ih k s t
varigste  v aa r ih k s t ax
varm  v aa r m
varme  v aa r m ax
varmebølge  v aa r m ax b oe l g ax
varmt  v aa r m t
varmt vann  v aa r m t v aa n
varsellys  v aa sz eh l ue s
varsku  v aa sz k uh
varsle  v aa sz l ax
varsom  v aa sz ao m
varte  v aa t ax
vase  v aa s ax
vask  v aa s k ax n
vaske  v aa s k ax
vaskemiddel  v aa s k ax m ih d ax l
vaskeri  v aa s k ax r iy
vaskerom  v aa s k ax r uh m
vaskeservant  v aa s k ax s ae r v aa n t
vasse  v aa s ax
vassen  v aa s ax n
vasstrukken  v aa s t r uh k ax n
vatt  v aa t
ved  v ee d
